City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
211,bodo,67.28,14.405,268.17,74,0,9.26,NO,1702323935
212,waddan,29.1614,16.139,288.19,65,48,4.56,LY,1702323935
213,al kharj,24.155,47.3346,292.47,25,63,1.49,SA,1702323935
214,wenling,28.3669,121.36,284.88,78,100,6.14,CN,1702323935
215,romanovskaya,47.5426,42.0285,273.71,81,100,8.49,RU,1702323936
216,kalmunai,7.4167,81.8167,298.1,91,96,2.8,LK,1702323936
217,geraldton,-28.7667,114.6,293.38,37,0,4.12,AU,1702323707
218,semera,11.501,41.201,296.23,56,8,6.11,ET,1702323936
219,flin flon,54.7682,-101.865,264.06,62,100,9.77,CA,1702323936
220,yaring,6.8662,101.3689,299.04,85,68,3.6,TH,1702323936
221,greenville,35.6127,-77.3663,281.56,63,100,2.57,US,1702323648
222,bloemfontein,-29.1211,26.214,287.86,82,0,1.03,ZA,1702323937
223,minot air force base,48.4209,-101.3391,272.25,68,0,14.4,US,1702323876
224,ghanzi,-21.5667,21.7833,301.47,26,90,2.97,BW,1702323937
225,ugleural'skiy,58.9534,57.5846,238.45,97,99,1.93,RU,1702323937
226,lincoln,40.8,-96.667,283.8,48,0,2.57,US,1702323704
227,ruidoso,33.3317,-105.673,289.85,16,0,4.63,US,1702323938
228,pacific grove,36.6177,-121.9166,290.87,49,0,4.47,US,1702323660
229,lompoc,34.6391,-120.4579,298.11,58,0,6.26,US,1702323938
230,ocean city,39.2776,-74.5746,281.47,68,21,3.58,US,1702323807
231,knyaze-volkonskoye,48.4642,135.4567,249.34,94,6,3.78,RU,1702323938
232,champerico,14.3,-91.9167,308.45,64,3,2.87,GT,1702323938
233,rockport,28.0206,-97.0544,293.17,53,0,4.63,US,1702323938
234,laguna,38.421,-121.4238,288.71,65,0,2.57,US,1702323938
235,iskateley,67.6803,53.1512,258.16,92,100,8.94,RU,1702323939
236,lawas,13.764,121.0566,298.7,92,62,2.05,PH,1702323939
237,santo antonio,-6.3106,-35.4789,301.98,53,0,7.2,BR,1702323939
238,khandyga,62.6667,135.6,239.49,99,100,0.48,RU,1702323939
239,dubbo,-32.25,148.6167,295.22,68,0,8.23,AU,1702323939
240,xiaoweizhai,26.1903,107.5125,281.51,91,100,3.0,CN,1702323939
241,conceicao da barra,-18.5933,-39.7322,300.71,65,40,6.7,BR,1702323940
242,port alfred,-33.5906,26.891,292.69,92,5,2.98,ZA,1702323713
243,vila franca do campo,37.7167,-25.4333,288.38,82,99,2.97,PT,1702323940
244,argo,37.6333,22.7333,283.56,81,25,1.15,GR,1702323940
245,desaguadero,-16.5656,-69.0417,286.65,53,100,3.71,PE,1702323940
